Colegio Name,Costos Colegiatura Secundaria,Costos Colegiatura Primaria,Costo de Materiales Primaria,Costo de Materiales Secundaria,Costos Colegiatura Kinder,Costo de Materiales Kinder,Costo Inscripción Primaria,Costo Inscripción Secundaria,Costo Inscripción Kinder,Costo de arrendamiento,Costos Plataformas Kinder,Costos Programas Kinder,Costos Libretas Kinder,Costos Plataformas Primaria,Costos Certificaciones Primaria,Costos Programas Primaria,Costos Libretas Primaria,Costo Libretas Secundaria,Costos Certificaciones Secundaria,Costos Plataformas Secundaria,Costos Programas Secundaria,Matrícula Kinder,Matrícula Primaria,Matrícula Secundaria,Matrícula Total
Colegio Ipefh Bicentenario (Campus Toluca),4750.0,4500.0,5180.0,6570.0,3450.0,4835.0,6750.0,7200.0,6050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,480.0,300.0,825
Jules Verne School,0.0,6500.0,8000.0,0.0,5000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,84.0,0.0,119
Instituto Panamericano de Tampico,3250.0,2750.0,4995.0,4987.0,2050.0,3775.0,2600.0,3000.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,306.0,150.0,609
Escuela Ipanti (Campus Oaxaca),5500.0,4400.0,8500.0,5000.0,3120.0,3500.0,9500.0,10200.0,8000.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,100.0,300.0,150.0,550
Colegio Inglés de Torreón,8366.0,7218.0,2034.0,2855.0,4779.0,1541.0,5842.0,6945.0,5842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,255.0,153.0,498
Colegio Nautilus,4750.0,4550.0,4200.0,1377.0,4550.0,2200.0,5500.0,5600.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,100.0,60.0,205
Colegio Americano Morelia,2900.0,0.0,0.0,1200.0,0.0,0.0,0.0,6900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130
First College,6500.0,6500.0,6129.0,5799.0,0.0,0.0,4500.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,70.0,210
Colegio Amaranto,0.0,9000.0,7000.0,0.0,8000.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,180.0,0.0,255
Colegio Lafontain,0.0,6325.0,3850.0,0.0,6325.0,3850.0,9688.0,0.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,122.0,0.0,232
Comunidad Educativa Hanrath,6200.0,5550.0,3000.0,3190.0,4800.0,2120.0,4150.0,5000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,60.0,30.0,111
Colegio Ipefh Bicentenario ( Campus Calimaya),5300.0,5250.0,0.0,0.0,4200.0,0.0,6950.0,7400.0,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Colegio Ipefh Bicentenario (Campus Metepec),5300.0,5250.0,0.0,0.0,4200.0,0.0,6950.0,7400.0,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Colegio Ipefh Bicentenario (Campus Aeropuerto Preescolar y Primaria ),0.0,4400.0,0.0,0.0,3950.0,0.0,6300.0,0.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Colegio Ipefh Bicentenario (Campus Aeropuerto Secundaria ),4450.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kindergym Texcoco,0.0,0.0,0.0,0.0,4000.0,6563.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,90
Colegio Bosques (Morelia),0.0,3050.0,3000.0,0.0,0.0,0.0,4065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,156
Guadalajara Escuela del Futuro,3600.0,3200.0,7500.0,7800.0,2500.0,4950.0,9000.0,9000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0,100
Mozarteum,0.0,3649.0,4000.0,0.0,3852.0,3600.0,4494.0,0.0,2937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,110.0,0.0,225
Little Friends Campus Chapultepec,0.0,4200.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,200
Little Friends Campus Jesús del Monte,0.0,4200.0,500.0,0.0,3000.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,300
Little Friends Campus Universidad,0.0,4200.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,200
Grupo Corabonni,0.0,4600.0,4600.0,0.0,4000.0,4500.0,3773.0,0.0,2882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,90.0,0.0,130
